FIPS,Age_over_65
31015,584
31017,814
31019,6863
31021,1540
31023,1642
31025,4396
31027,1806
31029,829
31031,1195
31033,1779
31035,1236
31037,1348
31039,1944
31041,2368
31043,2706
31045,1610
31047,3696
31049,430
31051,1142
31053,6977
31055,70894
31057,412
31059,1280
31061,809
31063,668
31065,1162
31067,4429
31069,516
31071,571
31073,526
31075,152
31077,602
31079,8938
31081,1798
31083,845
31085,166
31087,712
31089,2193
31091,226
31093,1354
31095,1686
31097,939
31099,1239
31101,2155
31103,183
31105,893
31107,2061
31109,42177
31111,6661
31113,186
31115,148
31117,118
31119,5452
31121,1617
31123,962
31125,723
31127,1377
31129,1131
31131,3054
31133,738
31135,667
31137,1821
31139,1350
31141,5734
31143,1139
31145,2155
31147,1919
31149,355
31151,2058
31153,20619
31155,3871
31157,6749
31159,2912
31161,1323
31163,811
31165,270
31167,1045
31169,1283
31171,137
31173,857
31175,1067
31177,3631
31179,1447
31181,792
31183,187
31185,2710
32001,4530
32003,315486
32005,13191
32007,5743
32009,276
32011,335
32013,2259
32015,798
32017,1134
32019,11372
32021,1359
32023,13173
32027,1036
32029,1142
32031,72890
32033,1600
32510,10857
33001,13037
33003,12981
33005,14719
33007,7320
33009,17964
33011,62902
33013,26316
33015,52770
33017,18838
33019,8948
34001,46657
34003,158415
34005,74168
34007,77791
34009,24059
34011,22676
34013,106918
34015,44794
34017,78647
34019,22295
34021,54941
34023,121213
34025,106602
34027,82479
34029,133880
34031,71897
34033,11537
34035,50390
34037,23663
34039,78625
34041,18638
35001,106928
35003,1306
35005,10100
35006,4197
35007,3286
35009,6091
35011,401
35013,33040
35015,8254
35017,7347
35019,949
35021,172
35023,910
35025,7770
35027,5475
35028,3260
35029,4939
35031,8610
35033,1379
35035,11248
35037,2021
35039,7306
35041,2622
35043,24400
35045,18029
35047,5712
35049,34538
35051,3921
35053,3178
35055,8280
35057,3120
35059,816
35061,13082
36001,50691
36003,8596
36005,179661
36007,36107
36009,14427
36011,14212
36013,25157
36015,15614
36017,9677
36019,13218
36021,13936
36023,7668
36025,10788
36027,50176
36029,161744
36031,8525
36033,8365
36035,10211
36037,10593
36039,10262
36041,1366
36043,12483
36045,14923
36047,352294
36049,4755
36051,10929
36053,12550
36055,125344
36057,9020
36059,236983
36061,264356
36063,39217
36065,42275
36067,76833
36069,21207
36071,51951
36073,7098
36075,18668
36077,12333
36079,16504
36081,350514
36083,26307
36085,75442
36087,50411
36089,18398
36091,40191
36093,26055
36095,6553
36097,3727
36099,6413
36101,18251
36103,244871
36105,13928
36107,9604
36109,14295
36111,34254
36113,13887
36115,11620
36117,16631
36119,162211
36121,6996
36123,5030
37001,27165
37003,7248
37005,2917
37007,4461
37009,6634
37011,3803
37013,11013
37015,4244
37017,7028
37019,40223
37021,49925
37023,17703
37025,26889
37027,15832
37029,1847
37031,16743
37033,4695
37035,27535
37037,17129
37039,8097
37041,3415
37043,3298
37045,17692
37047,10936
37049,19177
37051,38522
37053,4177
37055,7499
37057,29483
37059,8555
37061,10580
37063,39266
37065,9985
37067,58469
37069,10908
37071,34717
37073,2283
37075,1971
37077,9858
37079,3316
37081,78210
37083,10301
37085,16089
37087,14865
37089,29232
37091,4653
37093,5193
37095,1012
37097,27300
37099,8270
37101,25598
37103,2191
37105,9745
37107,11084
37109,14101
37111,8991
37113,9869
37115,4683
37117,5097
37119,117292
37121,3658
37123,5376
37125,23178
37127,16727
37129,39260
37131,5000
37133,17455
37135,19403
37137,3700
37139,6518
37141,10712
37143,3637
37145,7457
37147,22859
37149,6203
37151,24842
37153,7847
37155,19512
37157,18113
37159,24122
37161,14083
37163,11045
37165,6109
37167,11535
37169,9299
37171,14476
37173,2704
37175,10112
37177,819
37179,28502
37181,7950
37183,120379
37185,4888
37187,2814
37189,8507
37191,19768
37193,14368
37195,14229
37197,7343
37199,4490
38001,563
38003,2342
38005,914
38007,197
38009,1490
38011,647
38013,369
38015,14807
38017,20551
38019,1030
38021,1008
38023,620
38025,732
38027,573
38029,975
38031,734
38033,382
38035,8630
38037,684
38039,715
38041,619
38043,525
38045,1057
38047,524
38049,1186
38051,811
38053,1157
38055,2194
38057,1550
38059,4935
38061,1167
38063,790
38065,432
38067,1563
38069,982
38071,2222
38073,1137
38075,425
38077,2805
38079,1638
38081,858
38083,418
38085,343
38087,197
38089,4039
38091,406
38093,3962
38095,502
38097,1550
38099,2248
38101,8416
38103,1057
38105,3205
39001,4856
39003,17747
39005,9819
39007,18132
39009,8281
39011,8186
39013,13830
39015,7900
39017,54607
39019,5686
39021,7031
39023,25635
39025,32161
39027,6951
39029,20467
39031,6948
39033,8536
39035,221367
39037,9861
39039,6945
39041,26487
39043,15930
39045,23759
39047,4959
39049,151411
39051,7297
39053,5566
39055,18581
39057,27917
39059,7453
39061,122451
39063,12623
39065,4898
39067,3186
39069,4900
39071,7723
39073,5261
39075,5859
39077,9746
39079,5444
39081,13950
39083,10906
39085,44784
39087,11076
39089,27997
39091,7953
39093,54669
39095,68235
39097,6714
39099,46942
39101,11266
39103,30807
39105,4449
39107,7074
39109,19352
39111,3243
39113,93724
39115,3037
39117,5809
39119,15037
39121,3845
39123,9926
39125,3414
39127,5846
39129,8951
39131,4915
39133,25831
39135,7693
39137,5722
39139,23231
39141,12389
39143,10897
39145,13526
39147,9675
39149,7799
39151,70739
39153,94602
39155,42123
39157,17754
39159,6799
39161,5230
39163,2226
39165,32035
39167,12376
39169,20111
39171,6799
39173,19289
39175,4130
40001,3388
40003,1121
40005,2588
40007,1006
40009,3010
40011,1730
40013,8204
40015,4768
40017,18125
40019,7929
40021,7938
40023,3005
40025,529
40027,36272
40029,1149
40031,14910
40033,1138
40035,2819
40037,12430
40039,3913
40041,10348
40043,916
40045,904
40047,9861
40049,4931
40051,8746
40053,928
40055,1025
40057,508
40059,704
40061,2515
40063,2515
40065,3717
40067,1235
40069,2115
40071,8370
40073,2445
40075,1729
40077,2187
40079,8772
40081,6255
40083,7032
40085,1946
40087,5969
40089,5842
40091,4965
40093,1517
40095,3673
40097,7464
40099,2674
40101,11297
40103,2135
40105,1978
40107,2115
40109,105127
40111,7051
40113,9104
40115,5662
40117,3093
40119,10062
40121,8607
40123,6272
40125,11548
40127,2513
40129,740
40131,14557
40133,4393
40135,7535
40137,8366
40139,2280
40141,1454
40143,90495
40145,12652
40147,9989
40149,1974
40151,1507
40153,3108
41001,4151
41003,14145
41005,72125
41007,8387
41009,9394
41011,16223
41013,5713
41015,7623
41017,36450
41019,27550
41021,475
41023,2099
41025,1736
41027,3609
41029,46655
41031,4546
41033,22145
41035,13849
41037,1929
41039,70183
41041,13534
41043,22895
41045,5001
41047,52093
41049,1764
41051,104899
41053,14569
41055,428
41057,6560
41059,11820
41061,5283
41063,1978
41065,5273
41067,76361
41069,506
41071,17604
42001,20304
42003,226124
42005,14236
42007,34713
42009,10751
42011,70728
42013,24996
42015,12671
42017,113718
42019,34025
42021,29240
42023,1235
42025,13196
42027,22306
42029,82614
42031,7413
42033,16097
42035,7121
42037,12443
42039,17140
42041,45230
42043,45549
42045,90402
42047,6517
42049,47517
42051,27082
42053,1603
42055,29673
42057,3040
42059,6823
42061,9299
42063,15959
42065,9013
42067,4896
42069,41322
42071,94915
42073,18660
42075,26742
42077,60102
42079,62285
42081,21753
42083,7883
42085,23624
42087,9787
42089,28274
42091,143138
42093,3768
42095,56396
42097,19142
42099,8293
42101,212274
42103,12152
42105,3953
42107,28561
42109,7419
42111,16178
42113,1696
42115,9383
42117,8786
42119,7996
42121,11213
42123,8882
42125,41708
42127,12078
42129,78061
42131,5598
42133,76024
44001,9455
44003,30180
44005,17943
44007,95189
44009,25122
45001,5202
45003,31540
45005,1777
45007,35149
45009,3026
45011,3786
45013,49217
45015,28877
45017,3230
45019,63833
45021,9262
45023,5874
45025,8245
45027,7735
45029,7432
45031,12328
45033,4886
45035,21364
45037,4950
45039,4624
45041,22637
45043,16714
45045,77989
45047,12759
45049,3512
45051,76932
45053,5212
45055,11704
45057,18855
45059,11993
45061,3140
45063,44761
45065,3183
45067,5945
45069,4652
45071,7345
45073,17658
45075,16643
45077,19998
45079,50741
45081,3899
45083,48999
